Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer Id,Customer name,Customer City,Customer Country,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Card Id,Product Category Id,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
DEBIT,4,4,59.99000168,299.9599915,Shipping on time,0,63,Children's Clothing,14046,Zena Elliott,CA,EE. UU.,Consumer,PA,El Monte,19380,4,Apparel,34.07189179,-118.0138855,Europe,Sheffield,Reino Unido,14046,10/26/2017 0:29,70493,1350,57.13999939,0.159999996,173808,357.1000061,0.200000003,1,357.1000061,299.9599915,59.99000168,Northern Europe,Inglaterra,COMPLETE,1350,63,Children's heaters,357.1000061,0,10/30/2017 0:29,Standard Class
PAYMENT,4,4,10.90999985,38.95999908,Shipping on time,0,75,Video Games,17171,Eugenia Slater,CA,EE. UU.,Corporate,PA,Elk Grove,19380,9,Discs Shop,38.40857315,-121.4491119,Pacific Asia,Manila,Filipinas,17171,12/10/2017 15:18,73618,1362,0.800000012,0.02,176933,39.75,0.280000001,1,39.75,38.95999908,10.90999985,Southeast Asia,Capital Nacional,PENDING_PAYMENT,1362,75,Fighting video games,39.75,0,12/14/2017 15:18,Standard Class
DEBIT,2,1,66.37999725,189.6600037,Late delivery,1,65,Consumer Electronics,14577,Sara Foreman,CA,EE. UU.,Consumer,PA,Elk Grove,19380,10,Technology,39.13415909,-123.7185516,Europe,Valence,Francia,14577,11/2/2017 18:31,71024,1352,63.22000122,0.25,174339,252.8800049,0.349999994,1,252.8800049,189.6600037,66.37999725,Western Europe,Auvernia-R›dano-Alpes,COMPLETE,1352,65,Industrial consumer electronics,252.8800049,0,11/4/2017 18:31,First Class
TRANSFER,0,0,9.720000267,110.4899979,Shipping on time,0,18,Men's Footwear,8464,Mary Knight,West Chester,EE. UU.,Home Office,PA,8349 Round Road,19380,4,Apparel,39.96141434,-75.60319519,LATAM,C›rdoba,M?xico,8464,5/11/2017 4:13,58995,403,19.5,0.150000006,147680,129.9900055,0.090000004,1,129.9900055,110.4899979,9.720000267,Central America,Veracruz,PROCESSING,403,18,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,5/11/2017 16:13,Same Day
DEBIT,3,2,33.56000137,296.9500122,Late delivery,1,17,Cleats,10545,Kenneth Smith,West Chester,EE. UU.,Consumer,PA,3520 Hazy Inlet,19380,4,Apparel,39.98681259,-75.54330444,Pacific Asia,Binzhou,China,10545,11/29/2015 4:26,22757,365,3,0.01,56942,59.99000168,0.109999999,5,299.9500122,296.9500122,33.56000137,Eastern Asia,Heilongjiang,COMPLETE,365,17,Perfect Fitness Perfect Rip Deck,59.99000168,0,12/2/2015 4:26,Second Class
PAYMENT,6,4,-2.559999943,196.7700043,Late delivery,1,17,Cleats,5563,Paul Trevino,West Chester,EE. UU.,Corporate,PA,5667 Quaking Bear Bay,19380,4,Apparel,39.96376801,-75.60626221,Europe,Preston,Reino Unido,5563,8/6/2017 0:46,64945,365,43.18999863,0.180000007,162362,59.99000168,-0.01,4,239.9600067,196.7700043,-2.559999943,Northern Europe,Inglaterra,PENDING_PAYMENT,365,17,Perfect Fitness Perfect Rip Deck,59.99000168,0,8/12/2017 0:46,Standard Class
TRANSFER,5,4,60.16999817,207.4900055,Late delivery,1,41,Trade-In,6022,Mary Smith,West Chester,EE. UU.,Consumer,PA,6007 Velvet Maze,19380,6,Outdoors,39.96376801,-75.60626221,Europe,Frankfurt,Alemania,6022,8/23/2017 9:20,66134,607,42.5,0.170000002,165313,249.9900055,0.289999992,1,249.9900055,207.4900055,60.16999817,Western Europe,Hesse,PROCESSING,607,41,Garmin Approach S3 Golf GPS Watch,249.9900055,0,8/28/2017 9:20,Standard Class
TRANSFER,2,2,24.23999977,109.1900024,Shipping canceled,0,18,Men's Footwear,6022,Mary Smith,West Chester,EE. UU.,Consumer,PA,6007 Velvet Maze,19380,4,Apparel,39.96376801,-75.60626221,Europe,Limoges,Francia,6022,6/8/2015 3:58,10836,403,20.79999924,0.159999996,27125,129.9900055,0.219999999,1,129.9900055,109.1900024,24.23999977,Western Europe,Aquitania-Lemos­n-Poitou-Charentes,SUSPECTED_FRAUD,403,18,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,6/10/2015 3:58,Second Class
TRANSFER,2,4,-25.64999962,56.99000168,Advance shipping,0,17,Cleats,2504,Mary Smith,West Chester,EE. UU.,Corporate,PA,1548 Lazy Place,19380,4,Apparel,39.96376801,-75.60626221,Europe,Berl­n,Alemania,2504,9/27/2015 20:07,18486,365,3,0.050000001,46210,59.99000168,-0.449999988,1,59.99000168,56.99000168,-25.64999962,Western Europe,Berl­n,PENDING,365,17,Perfect Fitness Perfect Rip Deck,59.99000168,0,9/29/2015 20:07,Standard Class
PAYMENT,2,1,97.01999664,197.9900055,Late delivery,1,48,Water Sports,10545,Kenneth Smith,West Chester,EE. UU.,Consumer,PA,3520 Hazy Inlet,19380,7,Fan Shop,39.98681259,-75.54330444,LATAM,Chinandega,Nicaragua,10545,2/15/2015 7:28,3105,1073,2,0.01,7730,199.9900055,0.49000001,1,199.9900055,197.9900055,97.01999664,Central America,Chinandega,PENDING_PAYMENT,1073,48,Pelican Sunstream 100 Kayak,199.9900055,0,2/17/2015 7:28,First Class
TRANSFER,4,4,0,226.7599945,Shipping on time,0,17,Cleats,5521,Mary Williamson,West Chester,EE. UU.,Home Office,PA,1972 Burning Extension,19380,4,Apparel,39.98081207,-75.78192139,Europe,Marsala,Italia,5521,7/3/2015 10:46,12568,365,13.19999981,0.059999999,31461,59.99000168,0,4,239.9600067,226.7599945,0,Southern Europe,Sicilia,PENDING,365,17,Perfect Fitness Perfect Rip Deck,59.99000168,0,7/7/2015 10:46,Standard Class
DEBIT,6,4,56.8199997,120.8899994,Late delivery,1,18,Men's Footwear,5521,Mary Williamson,West Chester,EE. UU.,Home Office,PA,1972 Burning Extension,19380,4,Apparel,39.98081207,-75.78192139,Europe,Maastricht,Pa­ses Bajos,5521,10/1/2015 18:21,18755,403,9.100000381,0.07,46892,129.9900055,0.469999999,1,129.9900055,120.8899994,56.8199997,Western Europe,Limburgo,COMPLETE,403,18,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,10/7/2015 18:21,Standard Class
TRANSFER,0,0,12.34000015,109.1900024,Shipping on time,0,18,Men's Footwear,8464,Mary Knight,West Chester,EE. UU.,Home Office,PA,8349 Round Road,19380,4,Apparel,39.96141434,-75.60319519,LATAM,C›rdoba,M?xico,8464,5/11/2017 4:13,58995,403,20.79999924,0.159999996,147678,129.9900055,0.109999999,1,129.9900055,109.1900024,12.34000015,Central America,Veracruz,PROCESSING,403,18,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,5/11/2017 16:13,Same Day
TRANSFER,2,4,16.92000008,35.99000168,Advance shipping,0,29,Shop By Sport,2504,Mary Smith,West Chester,EE. UU.,Corporate,PA,1548 Lazy Place,19380,5,Golf,39.96376801,-75.60626221,Europe,Berl­n,Alemania,2504,9/27/2015 20:07,18486,627,4,0.100000001,46209,39.99000168,0.469999999,1,39.99000168,35.99000168,16.92000008,Western Europe,Berl­n,PENDING,627,29,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,9/29/2015 20:07,Standard Class
TRANSFER,2,1,62.36000061,178.1699982,Late delivery,1,17,Cleats,5521,Mary Williamson,West Chester,EE. UU.,Home Office,PA,1972 Burning Extension,19380,4,Apparel,39.98081207,-75.78192139,Pacific Asia,Samsun,Turqu­a,5521,10/24/2016 1:10,45354,365,1.799999952,0.01,113313,59.99000168,0.349999994,3,179.9700012,178.1699982,62.36000061,West Asia,Samsun,PROCESSING,365,17,Perfect Fitness Perfect Rip Deck,59.99000168,0,10/26/2016 1:10,First Class
TRANSFER,2,2,-7.119999886,49.79000092,Shipping canceled,0,17,Cleats,6022,Mary Smith,West Chester,EE. UU.,Consumer,PA,6007 Velvet Maze,19380,4,Apparel,39.96376801,-75.60626221,Europe,Limoges,Francia,6022,6/8/2015 3:58,10836,365,10.19999981,0.170000002,27123,59.99000168,-0.140000001,1,59.99000168,49.79000092,-7.119999886,Western Europe,Aquitania-Lemos­n-Poitou-Charentes,SUSPECTED_FRAUD,365,17,Perfect Fitness Perfect Rip Deck,59.99000168,0,6/10/2015 3:58,Second Class
PAYMENT,2,4,26.39999962,263.980011,Advance shipping,0,43,Camping & Hiking,6022,Mary Smith,West Chester,EE. UU.,Consumer,PA,6007 Velvet Maze,19380,7,Fan Shop,39.96376801,-75.60626221,Pacific Asia,Adelaide,Australia,6022,12/13/2015 18:26,23756,957,36,0.119999997,59446,299.980011,0.100000001,1,299.980011,263.980011,26.39999962,Oceania,Australia del Sur,PENDING_PAYMENT,957,43,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,12/15/2015 18:26,Standard Class
PAYMENT,2,1,104.9899979,299.9700012,Late delivery,1,9,Cardio Equipment,8464,Mary Knight,West Chester,EE. UU.,Home Office,PA,8349 Round Road,19380,3,Footwear,39.96141434,-75.60319519,LATAM,Carrefour,Hait­,8464,3/11/2015 15:08,4771,191,99.98999786,0.25,11942,99.98999786,0.349999994,4,399.9599915,299.9700012,104.9899979,Caribbean,Ouest,PENDING_PAYMENT,191,9,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,3/13/2015 15:08,First Class
PAYMENT,6,4,49,391.980011,Late delivery,1,45,Fishing,2504,Mary Smith,West Chester,EE. UU.,Corporate,PA,1548 Lazy Place,19380,7,Fan Shop,39.96376801,-75.60626221,LATAM,Tecomÿn,M?xico,2504,5/17/2015 13:07,9355,1004,8,0.02,23341,399.980011,0.129999995,1,399.980011,391.980011,49,Central America,Colima,PENDING_PAYMENT,1004,45,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,5/23/2015 13:07,Standard Class
PAYMENT,2,1,-213.9799957,278.980011,Late delivery,1,43,Camping & Hiking,8464,Mary Knight,West Chester,EE. UU.,Home Office,PA,8349 Round Road,19380,7,Fan Shop,39.96141434,-75.60319519,LATAM,Carrefour,Hait­,8464,3/11/2015 15:08,4771,957,21,0.07,11941,299.980011,-0.769999981,1,299.980011,278.980011,-213.9799957,Caribbean,Ouest,PENDING_PAYMENT,957,43,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,3/13/2015 15:08,First Class
